bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005540033,154 CONOVER STREET,2500.0,M2-1,Industrial & Manufacturing,,60.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
3005650029,118 WOLCOTT STREET,1525.0,R5,Multi-Family Walk-Up Buildings,,30.0,0.0,1906.25,0.0,0.0,0.0,2.0,5.0,40.37,8.0,0.0,0.0,0.0,0.0
3005850019,169 DIKEMAN STREET,2000.0,M1-1,One & Two Family Buildings,,30.0,2000.0,0.0,0.0,3.0,10.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0
3005880033,144 DWIGHT STREET,5000.0,M1-1,Transportation & Utility,,30.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
3005960049,153 COFFEY STREET,6700.0,M1-1,Industrial & Manufacturing,,30.0,6700.0,0.0,2.0,11.0,33.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
3005980004,VAN BRUNT STREET,1800.0,M1-1,Vacant Land,,30.0,1800.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005130004,371 COLUMBIA STREET,2500.0,M1-1,Multi-Family Walk-Up Buildings,,30.0,2500.0,0.0,0.0,4.0,12.0,0.0,0.0,45.0,16.0,0.0,0.0,0.0,0.0
3005740032,202 CONOVER STREET,2500.0,M2-1,Vacant Land,,60.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005880015,43 1/2 DIKEMAN STREET,2000.0,R5,One & Two Family Buildings,,30.0,0.0,2500.0,0.0,0.0,0.0,3.0,8.0,22.0,5.0,0.0,0.0,0.0,0.0
3005990009,57 COFFEY STREET,2500.0,M1-1,One & Two Family Buildings,,30.0,2500.0,0.0,0.0,4.0,12.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0
3006040003,415 VAN BRUNT STREET,1750.0,M1-2,Multi-Family Walk-Up Buildings,,0.0,3500.0,0.0,1.0,5.0,17.0,0.0,0.0,33.0,13.0,0.0,0.0,0.0,0.0
3006210139,139 BRYANT STREET,32000.0,M3-1,Vacant Land,,60.0,64000.0,0.0,21.0,106.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005760008,347 VAN BRUNT STREET,2250.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,2250.0,2812.5,0.0,3.0,11.0,3.0,8.0,44.0,16.0,0.0,2.0,0.0,2.0
